Ref,Val,Package,PosX,PosY,Rot,Side
"GROUND0","","SJ",-11.430000,40.640000,180.000000,bottom
"C1","100n","C0603-ROUND",18.415000,15.367000,-90.000000,top
"C2","100n","C0603-ROUND",12.065000,29.845000,180.000000,top
"C3","1u","C0603-ROUND",25.527000,15.367000,90.000000,top
"C4","100n","C0603-ROUND",27.940000,44.450000,180.000000,top
"C5","100n","C0603-ROUND",27.940000,29.845000,0.000000,top
"C6","100n","C0603-ROUND",43.535600,10.414000,180.000000,top
"C7","100n","C0603-ROUND",27.940000,31.496000,0.000000,top
"C8","1u","C0603-ROUND",12.700000,41.910000,180.000000,top
"C9","22p","C0603-ROUND",16.002000,29.591000,180.000000,top
"C10","100nF","C0603-ROUND",38.811200,10.617200,180.000000,top
"C11","22p","C0603-ROUND",22.225000,29.591000,0.000000,top
"D1","M7","SMB",21.590000,2.794000,180.000000,top
"D2","CD1206-S01575","MINIMELF",59.436000,27.940000,-90.000000,top
"D3","CD1206-S01575","MINIMELF",13.081000,46.228000,90.000000,top
"F1","MF-MSMF050-2 500mA","L1812",4.064000,26.543000,90.000000,top
"FD1","DNP","FD-1-1.5",6.350000,49.911000,0.000000,top
"FD2","DNP","FD-1-1.5",50.157000,20.932000,0.000000,top
"FD3","DNP","FD-1-1.5",3.730000,3.410000,0.000000,top
"FRAME1","DNP","FRAME",-21.500000,-4.500000,0.000000,top
"ICSP0","3x2 M","2X03",64.897000,27.940000,-90.000000,top
"ICSP1","3x2 M","2X03",18.288000,46.228000,180.000000,top
"J1","-","1X14-CUSTOM",45.720000,2.540000,0.000000,top
"J2","-","1X18-CUSTOM",45.720000,50.800000,180.000000,top
"JP2","2x2 M-NM","2X02",19.558000,41.148000,90.000000,top
"L0","YELLOW","CHIP-LED0805",27.940000,42.164000,-90.000000,top
"L1","BLM21","0805",7.620000,45.085000,180.000000,top
"L2","10uH","0805",38.709600,7.823200,0.000000,top
"ON0","GREEN","CHIP-LED0805",58.420000,36.576000,-90.000000,top
"ORIGIN0","TP_SP","TP-SP",0.000000,0.000000,0.000000,top
"PC1","47u","PANASONIC_D",25.527000,9.144000,90.000000,top
"PC2","47u","PANASONIC_D",18.415000,9.144000,90.000000,top
"R1","1M","R0603-ROUND",19.050000,29.591000,0.000000,top
"R2","1M","R0603-ROUND",41.275000,22.733000,180.000000,top
"RESET-EN0","","SJ",27.940000,27.305000,0.000000,top
"RESET0","TS42031-160R-TR-7260","TS42",6.350000,49.403000,0.000000,top
"RN1","10K","CAY16",27.940000,23.876000,90.000000,top
"RN2","1K","CAY16",27.940000,39.370000,-90.000000,top
"RN3","22R","CAY16",12.827000,36.830000,90.000000,top
"RN4","1K","CAY16",58.420000,33.782000,90.000000,top
"RX0","YELLOW","CHIP-LED0805",27.940000,34.290000,90.000000,top
"T1","FDN340P","SOT-23",8.128000,26.543000,-90.000000,top
"TP_5V1","TP_SP","TP-SP",66.167000,30.480000,0.000000,top
"TP_CMP0","TP_SP","TP-SP",29.972000,23.368000,0.000000,top
"TP_DTR0","TP_SP","TP-SP",25.908000,29.845000,0.000000,top
"TP_GATE0","TP_SP","TP-SP",12.065000,21.463000,0.000000,top
"TP_LCMD0","TP_SP","TP-SP",18.923000,21.082000,0.000000,top
"TP_LL0","TP_SP","TP-SP",25.527000,43.180000,0.000000,top
"TP_MISO2","TP_SP","TP-SP",20.828000,47.498000,0.000000,top
"TP_MOSI2","TP_SP","TP-SP",18.288000,44.958000,0.000000,top
"TP_ONL0","TP_SP","TP-SP",56.642000,35.052000,0.000000,top
"TP_RESET2","TP_SP","TP-SP",15.748000,47.498000,0.000000,top
"TP_RX0","TP_SP","TP-SP",52.451000,34.163000,0.000000,top
"TP_RXL0","TP_SP","TP-SP",31.369000,35.687000,0.000000,top
"TP_SCK2","TP_SP","TP-SP",18.288000,47.498000,0.000000,top
"TP_TX0","TP_SP","TP-SP",51.054000,32.004000,0.000000,top
"TP_TXL0","TP_SP","TP-SP",31.369000,38.735000,0.000000,top
"TP_USBVCC0","TP_SP","TP-SP",9.906000,30.861000,0.000000,top
"TP_USH0","TP_SP","TP-SP",9.017000,42.799000,0.000000,top
"TP_VUCAP0","TP_SP","TP-SP",14.986000,41.910000,0.000000,top
"TX0","YELLOW","CHIP-LED0805",27.940000,36.576000,90.000000,top
"U1","NCP1117ST50T3G","SOT223",7.747000,17.399000,90.000000,top
"U2","LP2985-33DBVR","SOT23-DBV",21.971000,15.240000,-90.000000,top
"U3","16U2","ATMEL_QFN32",19.939000,34.671000,90.000000,top
"U4","ATMEGA328P-MU","MLF32",42.545000,15.875000,-90.000000,top
"U5","LMV358IDGKR","MSOP08",19.050000,20.320000,90.000000,top
"UNK_HOLE_0","","dummyfp0",66.040000,35.560000,0.000000,top
"UNK_HOLE_1","","dummyfp1",66.040000,7.620000,0.000000,top
"UNK_HOLE_2","","dummyfp2",15.240000,50.800000,0.000000,top
"UNK_HOLE_3","","dummyfp3",13.970000,2.540000,0.000000,top
"X1","POWERSUPPLY_DC21MMX","POWERSUPPLY_DC-21MM",5.334000,8.382000,90.000000,top
"X2","USB-B_TH","PN61729",3.810000,38.100000,-90.000000,top
"Y1","16MHz","QS",18.923000,26.162000,180.000000,top
"Y2","CSTCE16M0V53-R0 16MHZ","RESONATOR",41.275000,24.892000,0.000000,top
"Z1","CG0603MLC-05E","CT_CN0603",12.700000,39.370000,180.000000,top
"Z2","CG0603MLC-05E","CT_CN0603",12.700000,33.655000,180.000000,top
